X,Y,rand_point,fid,DN,elev_1,slope_1,aspect_1,rough_1,tri_1
85.4248885998954,22.2288294802831,42,14,1,410,15.5055046081543,8.04959106445312,13.0998001098633,20.7123146057129
85.4238949621597,22.228874502429,43,14,1,410,16.9906711578369,25.9719123840332,18.7207775115967,23.021728515625
85.4599681096945,22.2292314692073,44,15,1,445,12.8531723022461,100.351501464844,8.96141147613525,18.3575592041016
85.4627808813316,22.2295236795572,45,16,1,405,9.2425365447998,349.299133300781,19.3265380859375,14.2828569412231
85.4639022102224,22.2297553081468,46,16,1,405,15.6034088134766,345.68212890625,,13.416407585144
85.460938105206,22.2287957623264,47,16,1,437,15.1806592941284,345.25390625,23.9748706817627,30.3150119781494
85.4613570922298,22.2290527629282,48,16,1,420,20.0934677124023,9.50845146179199,19.3134021759033,30.9030742645264
85.4644510502356,22.2300467328846,49,16,1,,,,,
85.4634082194371,22.2294516977255,50,16,1,420,19.0353050231934,337.955474853516,16.0040969848633,26.8328151702881
85.4621412682193,22.2290845101365,51,16,1,420,17.4619808197021,352.113067626953,12.6772384643555,24.1867733001709
85.5546001884175,22.2300740427911,52,17,1,,,,,
85.5540836523855,22.2300338242789,53,17,1,,,,,
85.4597211921649,22.2287611703302,54,18,1,440,15.6514110565186,132.310134887695,8.21585178375244,21.3072757720947
85.463903393703,22.2288453627101,55,19,1,422,17.884557723999,172.312850952148,9.76188278198242,24.8997993469238
85.4644610390204,22.228854397881,56,19,1,419,18.1827545166016,163.9794921875,14.4695072174072,25.3179779052734
85.4481811692623,22.2291145721349,57,20,1,432,10.1858835220337,239.866912841797,15.6006984710693,14.7986488342285
85.4476205881427,22.2286634038863,58,20,1,411,17.7400016784668,181.546340942383,15.0101547241211,26.77685546875
85.4486236230058,22.2286233152497,59,20,1,427,21.0907421112061,196.917037963867,17.8947620391846,29.6479339599609
85.4496339085917,22.2285116095545,60,20,1,437,17.6287841796875,251.961853027344,13.1028652191162,22.3606796264648
85.4488361415062,22.2290720864272,61,20,1,443,6.33173751831055,238.849670410156,25.7119197845459,9.53939247131348
85.4492181450316,22.2287833596361,62,20,1,433,18.8194789886475,217.440826416016,16.2401962280273,26.8141746520996
85.4470653503384,22.2287167732351,63,20,1,413,15.3762311935425,177.301010131836,5.96523475646973,21.7025337219238
85.4219156689764,22.2282840888939,64,21,1,404,11.8711242675781,354.10693359375,12.2232789993286,16.822603225708
85.5101487193375,22.2291100264053,65,22,1,423,6.25539255142212,159.242523193359,18.3717098236084,12.6885776519775
85.5095730554415,22.2290281212288,66,22,1,417,15.3617868423462,179.099746704102,13.5883417129517,21.2132034301758
85.5106369488856,22.2289729301661,67,22,1,414,15.1806592941284,165.25390625,9.5273609161377,20.5426387786865
85.543325576495,22.2293122724724,68,23,1,438,15.3763236999512,30.1508674621582,14.7714824676514,21.3307285308838
85.5538101046964,22.2293867758703,69,24,1,460,16.949068069458,285.608337402344,8.89104652404785,22.8910465240479
85.5694949387612,22.2294849017095,70,25,1,447,17.6637706756592,308.169677734375,11.8861999511719,23.021728515625
85.5777545108295,22.2294256375187,71,26,1,445,9.5676212310791,52.5481796264648,16.1901969909668,15.16575050354
85.4447274876655,22.2291083298049,72,27,1,411,23.9923877716064,272.639953613281,14.7337913513184,31.1769142150879
85.4446847924898,22.2300872956133,73,27,1,399,23.2221031188965,290.120971679688,,26.2488098144531
85.444431693075,22.228446674209,74,27,1,402,19.9720363616943,266.118713378906,5.69705963134766,26.8700580596924
85.4449114790674,22.229528771564,75,27,1,423,17.4915866851807,297.087310791016,23.2673015594482,29.2745628356934
85.4441058406522,22.2275399975181,76,27,1,377,10.1486177444458,228.377304077148,17.2433700561523,16.3707046508789
85.4442527438847,22.2294126260286,77,27,1,387,18.1143283843994,294.430694580078,16.3951377868652,23.021728515625
